product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,product_type,id,mean_of_ratings
"Amazon Basics New Release Nylon USB-A to Lightning Cable Cord, Fast Charging MFi Certified Charger for Apple iPhone, iPad (3-Ft, Rose Gold)",Computers&Accessories,849.0,1.809,53%,4.3,6.547,USBCables,101,Good
Isoelite Remote Compatible for Samsung LED/LCD Remote Control Works with All Samsung LED/LCD TV Model No :- BN59-607A (Please Match The Image with Your Old Remote),Electronics,299.0,899.0,67%,4.0,1.588,RemoteControls,102,Average
MI 100 cm (40 inches) 5A Series Full HD Smart Android LED TV with 24W Dolby Audio & Metal Bezel-Less Frame (Black) (2022 Model),Electronics,21.999,29.999,27%,4.2,32.84,SmartTelevisions,103,Good
"Wayona Nylon Braided USB Data Sync and Fast Charging 3A Short Power Bank Cable For iPhones, iPad Air, iPad mini, iPod Nano and iPod Touch (Grey)",Computers&Accessories,349.0,999.0,65%,4.2,13.12,USBCables,104,Good
"Wayona Type C To Type C Long Fast Charging Cable Type C Charger Cord Compatible With Samsung S22 S20 S20 Fe 2022 S22 Ultra S21 Ultra A70 A51 A53 A33 A73 M51 M31 M33 M53 (Grey, 2M, 65W, 6Ft)",Computers&Accessories,399.0,999.0,60%,4.3,2.806,USBCables,105,Good
"Wayona Nylon Braided 2M / 6Ft Fast Charge Usb To Lightning Data Sync And Charging Cable For Iphone, Ipad Tablet (6 Ft Pack Of 1, Grey)",Computers&Accessories,449.0,1.299,65%,4.2,24.269,USBCables,106,Good
CROSSVOLT Compatible Dash/Warp Data Sync Fast Charging Cable Supported for All C Type Devices (Cable),Computers&Accessories,299.0,999.0,70%,4.3,766.0,USBCables,107,Good
VU 139 cm (55 inches) The GloLED Series 4K Smart LED Google TV 55GloLED (Grey),Electronics,37.999,65.0,42%,4.3,3.587,SmartTelevisions,108,Good
"PTron Solero T241 2.4A Type-C Data & Charging USB Cable, Made in India, 480Mbps Data Sync, Durable 1-Meter Long USB Cable for Type-C USB Devices for Charging Adapter (Black)",Computers&Accessories,99.0,800.0,88%,3.9,24.871,USBCables,109,Average
"Croma 80 cm (32 Inches) HD Ready LED TV (CREL7369, Black) (2021 Model)",Electronics,7.39,20.0,63%,4.1,2.581,StandardTelevisions,110,Good
"boAt Laptop, Smartphone Type-c A400 Male Data Cable (Carbon Black)",Computers&Accessories,273.1,999.0,73%,4.3,20.85,USBCables,111,Good
LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Electronics,15.99,23.99,33%,4.3,1.035,SmartTelevisions,112,Good
"boAt Type C A750 Stress Resistant, Tangle-free, Sturdy Flat Cable with 6.5A Fast Charging & 480Mbps Data Transmission, 10000+ Bends Lifespan and Extended 1.5m Length(Radiant Red)",Computers&Accessories,399.0,999.0,60%,4.1,1.78,USBCables,113,Good
Cotbolt Silicone Protective Case Cover for LG an MR21GA Magic Remote Shockproof for LG Smart TV Remote 2021 Protective Skin Waterproof Anti Lost (Black) (Remote Not Included),Electronics,399.0,1.999,80%,4.5,505.0,RemoteControls,114,Good
Portronics Konnect L POR-1403 Fast Charging 3A Type-C Cable 1.2 Meter with Charge & Sync Function for All Type-C Devices (White),Computers&Accessories,210.0,399.0,47%,4.1,1.717,USBCables,115,Good
Electvision Remote Control Compatible with Amazon Fire tv Stick (Pairing Manual Will be Back Side Remote Control)(P),Electronics,1.299,1.999,35%,3.6,590.0,RemoteControls,116,Average
"King Shine Multi Retractable 3.0A Fast Charger Cord, Multiple Charging Cable 4Ft/1.2m 3-in-1 USB Charge Cord Compatible with Phone/Type C/Micro USB for All Android and iOS Smartphones (Random Colour)",Computers&Accessories,347.0,999.0,65%,3.5,1.121,USBCables,117,Average
"Lapster 5 pin mini usb cable, usb b cable,camera cable usb2.0 for External HDDS/Card Readers/Camera etc.",Computers&Accessories,149.0,999.0,85%,4.0,1.313,USBCables,118,Average
"Portronics Konnect Spydr 31 3-in-1 Multi Functional Cable with 3.0A Output, Tangle Resistant, 1.2M Length, Nylon Braided(Zebra)",Computers&Accessories,228.0,899.0,75%,3.8,132.0,USBCables,119,Average
"Belkin Apple Certified Lightning To Type C Cable, Tough Unbreakable Braided Fast Charging For Iphone, Ipad, Air Pods, 3.3 Feet (1 Meters)    White",Computers&Accessories,1.599,1.999,20%,4.4,1.951,USBCables,120,Good
Remote Control Compatible for Amazon Fire Tv Stick Remote Control [ 3rd Gen ](Not Compatible for Fire TV Edition Smart TV) from basesailor,Electronics,1.499,3.999,63%,3.7,37.0,RemoteControls,121,Average
VW 80 cm (32 inches) Playwall Frameless Series HD Ready Android Smart LED TV VW3251 (Black),Electronics,8.499,15.999,47%,4.3,592.0,SmartTelevisions,122,Good
Hisense 108 cm (43 inches) 4K Ultra HD Smart Certified Android LED TV 43A6GE (Black),Electronics,20.99,44.99,53%,4.1,1.259,SmartTelevisions,123,Good
Redmi 126 cm (50 inches) 4K Ultra HD Android Smart LED TV X50 | L50M6-RA (Black),Electronics,32.999,44.999,27%,4.2,45.238,SmartTelevisions,124,Good
AmazonBasics 6-Feet DisplayPort (not USB port) to HDMI Cable Black,Electronics,799.0,1.7,53%,4.1,28.638,HDMICables,125,Good
AmazonBasics 3 Feet High Speed HDMI Male to Female 2.0 Extension Cable,Electronics,229.0,595.0,62%,4.3,12.835,HDMICables,126,Good
iFFALCON 80 cm (32 inches) HD Ready Smart LED TV 32F53 (Black),Electronics,9.999,27.99,64%,4.2,1.269,SmartTelevisions,127,Good
7SEVEN® Compatible Lg Smart Tv Remote Suitable for Any LG LED OLED LCD UHD Plasma Android Television and AKB75095303 replacement of Original Lg Tv Remote Control,Electronics,349.0,599.0,42%,4.2,284.0,RemoteControls,128,Good
